,Name,College_or_above_percentage,Some_college_percentage,Highschool_percentage,No_highschool_percentage
3140,"Kewaunee County, Wisconsin",19.9,34.4,39.3,6.4
3141,"La Crosse County, Wisconsin",36.1,34.3,24.9,4.7
3142,"Lafayette County, Wisconsin",19.4,31.6,40.5,8.5
3143,"Langlade County, Wisconsin",16.6,30.9,42.4,10.2
3144,"Lincoln County, Wisconsin",18.7,34.3,38.8,8.2
3145,"Manitowoc County, Wisconsin",21.9,34.7,36.4,7.0
3146,"Marathon County, Wisconsin",26.2,32.2,33.9,7.6
3147,"Marinette County, Wisconsin",16.5,34.2,40.4,9.0
3148,"Marquette County, Wisconsin",14.2,34.7,41.6,9.5
3149,"Menominee County, Wisconsin",17.1,31.0,43.6,8.3
3150,"Milwaukee County, Wisconsin",31.3,28.4,29.0,11.3
3151,"Monroe County, Wisconsin",21.3,33.8,35.6,9.2
3152,"Oconto County, Wisconsin",17.0,32.8,41.6,8.7
3153,"Oneida County, Wisconsin",26.3,36.2,31.4,6.1
3154,"Outagamie County, Wisconsin",30.0,33.1,30.9,6.0
3155,"Ozaukee County, Wisconsin",49.6,26.3,20.9,3.2
3156,"Pepin County, Wisconsin",20.1,32.4,38.4,9.2
3157,"Pierce County, Wisconsin",29.9,34.2,30.6,5.4
3158,"Polk County, Wisconsin",22.6,35.5,36.1,5.9
3159,"Portage County, Wisconsin",33.4,28.7,31.9,5.9
3160,"Price County, Wisconsin",16.9,35.7,39.4,8.0
3161,"Racine County, Wisconsin",25.8,33.8,31.5,8.9
3162,"Richland County, Wisconsin",19.7,30.4,40.2,9.6
3163,"Rock County, Wisconsin",23.5,33.6,34.6,8.3
3164,"Rusk County, Wisconsin",16.9,31.5,40.4,11.3
3165,"St. Croix County, Wisconsin",36.8,35.4,24.2,3.7
3166,"Sauk County, Wisconsin",23.8,33.3,34.2,8.8
3167,"Sawyer County, Wisconsin",24.9,34.3,33.0,7.9
3168,"Shawano County, Wisconsin",16.3,31.9,43.8,8.0
3169,"Sheboygan County, Wisconsin",25.7,32.8,35.2,6.3
3170,"Taylor County, Wisconsin",16.2,29.4,42.6,11.8
3171,"Trempealeau County, Wisconsin",19.0,33.9,39.0,8.0
3172,"Vernon County, Wisconsin",22.9,30.3,36.7,10.1
3173,"Vilas County, Wisconsin",27.7,35.7,31.2,5.4
3174,"Walworth County, Wisconsin",29.5,31.5,30.5,8.5
3175,"Washburn County, Wisconsin",22.6,37.1,32.9,7.4
3176,"Washington County, Wisconsin",32.9,32.7,29.5,4.9
3177,"Waukesha County, Wisconsin",44.8,29.6,21.8,3.8
3178,"Waupaca County, Wisconsin",21.0,29.6,41.2,8.2
3179,"Waushara County, Wisconsin",16.6,29.6,42.1,11.7
3180,"Winnebago County, Wisconsin",29.0,31.5,32.9,6.6
3181,"Wood County, Wisconsin",20.6,33.6,38.2,7.6
3182,"Wyoming, Wyoming",28.2,36.8,28.6,6.4
3183,"Albany County, Wyoming",55.3,27.2,13.4,4.1
3184,"Big Horn County, Wyoming",20.1,40.8,28.9,10.2
3185,"Campbell County, Wyoming",19.7,37.7,35.8,6.7
3186,"Carbon County, Wyoming",20.5,32.4,37.8,9.4
3187,"Converse County, Wyoming",19.7,37.1,35.0,8.2
3188,"Crook County, Wyoming",24.1,38.7,30.3,6.9
3189,"Fremont County, Wyoming",24.8,36.8,30.2,8.2
3190,"Goshen County, Wyoming",25.6,38.2,27.8,8.3
3191,"Hot Springs County, Wyoming",23.5,45.5,25.1,5.8
3192,"Johnson County, Wyoming",33.1,37.0,25.0,4.9
3193,"Laramie County, Wyoming",30.2,38.4,25.5,5.9
3194,"Lincoln County, Wyoming",22.3,37.9,32.7,7.1
3195,"Natrona County, Wyoming",23.5,40.7,29.5,6.3
3196,"Niobrara County, Wyoming",17.2,41.0,32.8,8.9
3197,"Park County, Wyoming",34.9,35.7,25.3,4.1
3198,"Platte County, Wyoming",19.3,34.1,38.4,8.1
3199,"Sheridan County, Wyoming",30.6,37.1,27.8,4.5
3200,"Sublette County, Wyoming",28.7,35.9,30.7,4.6
3201,"Sweetwater County, Wyoming",21.2,39.1,32.3,7.4
3202,"Teton County, Wyoming",55.1,24.0,15.6,5.3
3203,"Uinta County, Wyoming",19.1,36.3,37.7,6.9
3204,"Washakie County, Wyoming",23.8,39.4,28.8,8.0
3205,"Weston County, Wyoming",17.2,38.0,38.2,6.7
